episode,my_win_rate
1,0.35555555555555557
2,0.37777777777777777
3,0.4222222222222222
4,0.3333333333333333
5,0.4
6,0.4222222222222222
7,0.4888888888888889
8,0.3333333333333333
9,0.37777777777777777
10,0.35555555555555557
11,0.4
12,0.4
13,0.3111111111111111
14,0.35555555555555557
15,0.5333333333333333
16,0.4666666666666667
17,0.37777777777777777
18,0.3111111111111111
19,0.4666666666666667
20,0.5333333333333333
21,0.13333333333333333
22,0.37777777777777777
23,0.4222222222222222
24,0.4
25,0.3333333333333333
26,0.5555555555555556
27,0.4222222222222222
28,0.5777777777777777
29,0.4666666666666667
30,0.4
31,0.26666666666666666
32,0.4222222222222222
33,0.4
34,0.35555555555555557
35,0.3111111111111111
36,0.4666666666666667
37,0.3333333333333333
38,0.26666666666666666
39,0.4222222222222222
40,0.24444444444444444
41,0.35555555555555557
42,0.28888888888888886
43,0.37777777777777777
44,0.4
45,0.24444444444444444
46,0.5111111111111111
47,0.4222222222222222
48,0.26666666666666666
49,0.4444444444444444
50,0.3111111111111111
51,0.28888888888888886
52,0.35555555555555557
53,0.4
54,0.4222222222222222
55,0.4
56,0.37777777777777777
57,0.4222222222222222
58,0.4444444444444444
59,0.2
60,0.37777777777777777
61,0.4
62,0.3333333333333333
63,0.28888888888888886
64,0.5333333333333333
65,0.4
66,0.26666666666666666
67,0.4
68,0.4888888888888889
69,0.4444444444444444
70,0.3111111111111111
71,0.4222222222222222
72,0.4888888888888889
73,0.35555555555555557
74,0.4444444444444444
75,0.4666666666666667
76,0.35555555555555557
77,0.3333333333333333
78,0.4222222222222222
79,0.4222222222222222
80,0.4222222222222222
81,0.4
82,0.3111111111111111
83,0.26666666666666666
84,0.37777777777777777
85,0.3333333333333333
86,0.3111111111111111
87,0.37777777777777777
88,0.24444444444444444
89,0.26666666666666666
90,0.35555555555555557
91,0.4222222222222222
92,0.3111111111111111
93,0.3333333333333333
94,0.35555555555555557
95,0.2222222222222222
96,0.37777777777777777
97,0.37777777777777777
98,0.3333333333333333
99,0.488888889
